Volatility 3 Framework 2.20.1

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output
5676	808	StartMenuExper	0xca82b78c4080	12	-	1	False	2024-02-01 19:48:30.000000 UTC	N/A	Disabled
5932	660	svchost.exe	0xca82b7b0a0c0	10	-	0	False	2024-02-01 19:48:30.000000 UTC	N/A	Disabled
5948	808	RuntimeBroker.	0xca82b7a9b080	7	-	1	False	2024-02-01 19:48:30.000000 UTC	N/A	Disabled
2128	808	SearchApp.exe	0xca82b7b10080	35	-	1	False	2024-02-01 19:48:30.000000 UTC	N/A	Disabled
6216	808	RuntimeBroker.	0xca82b7b14240	15	-	1	False	2024-02-01 19:48:30.000000 UTC	N/A	Disabled
6252	660	SearchIndexer.	0xca82b7daa0c0	16	-	0	False	2024-02-01 19:48:30.000000 UTC	N/A	Disabled
6504	660	svchost.exe	0xca82b7b16240	4	-	0	False	2024-02-01 19:48:30.000000 UTC	N/A	Disabled
6964	808	LockApp.exe	0xca82b7dca080	12	-	1	False	2024-02-01 19:48:31.000000 UTC	N/A	Disabled
7068	808	RuntimeBroker.	0xca82b81d42c0	7	-	1	False	2024-02-01 19:48:31.000000 UTC	N/A	Disabled
5592	660	svchost.exe	0xca82b81ef2c0	4	-	0	False	2024-02-01 19:48:31.000000 UTC	N/A	Disabled
2928	808	RuntimeBroker.	0xca82b82d80c0	6	-	1	False	2024-02-01 19:48:32.000000 UTC	N/A	Disabled
7484	808	smartscreen.ex	0xca82b82d0340	17	-	1	False	2024-02-01 19:48:41.000000 UTC	N/A	Disabled
7540	4568	SecurityHealth	0xca82b7858080	3	-	1	False	2024-02-01 19:48:41.000000 UTC	N/A	Disabled
7580	660	SecurityHealth	0xca82b8586240	14	-	0	False	2024-02-01 19:48:41.000000 UTC	N/A	Disabled
7684	4568	vmtoolsd.exe	0xca82b7dbe080	8	-	1	False	2024-02-01 19:48:41.000000 UTC	N/A	Disabled
7780	4568	OneDrive.exe	0xca82b814a0c0	21	-	1	True	2024-02-01 19:48:42.000000 UTC	N/A	Disabled
6984	808	WmiPrvSE.exe	0xca82b8046080	7	-	0	False	2024-02-01 19:48:46.000000 UTC	N/A	Disabled
6500	660	svchost.exe	0xca82b84cc080	3	-	0	False	2024-02-01 19:48:49.000000 UTC	N/A	Disabled
7272	2092	audiodg.exe	0xca82b8308080	5	-	0	False	2024-02-01 19:48:49.000000 UTC	N/A	Disabled
4628	4568	ChromeSetup.ex	0xca82b830a300	4	-	1	True	2024-02-01 19:48:50.000000 UTC	N/A	Disabled
7380	660	svchost.exe	0xca82b79841c0	5	-	0	False	2024-02-01 19:49:00.000000 UTC	N/A	Disabled
4792	808	SkypeApp.exe	0xca82b88020c0	13	-	1	False	2024-02-01 19:49:06.000000 UTC	N/A	Disabled
7948	808	RuntimeBroker.	0xca82b87e5200	3	-	1	False	2024-02-01 19:49:08.000000 UTC	N/A	Disabled
5624	808	RuntimeBroker.	0xca82b8b182c0	1	-	1	False	2024-02-01 19:49:19.000000 UTC	N/A	Disabled
7112	808	ApplicationFra	0xca82b8ba2080	3	-	1	False	2024-02-01 19:49:19.000000 UTC	N/A	Disabled
5912	808	WWAHost.exe	0xca82b8b86080	34	-	1	False	2024-02-01 19:49:19.000000 UTC	N/A	Disabled
8420	808	dllhost.exe	0xca82b8e7b300	6	-	1	False	2024-02-01 19:49:21.000000 UTC	N/A	Disabled
8728	808	WinStore.App.e	0xca82b7df4080	11	-	1	False	2024-02-01 19:49:34.000000 UTC	N/A	Disabled
8848	808	RuntimeBroker.	0xca82b8bd5080	1	-	1	False	2024-02-01 19:49:36.000000 UTC	N/A	Disabled
3832	660	svchost.exe	0xca82b8b352c0	6	-	1	False	2024-02-01 19:50:05.000000 UTC	N/A	Disabled
7968	660	svchost.exe	0xca82b8ba72c0	4	-	0	False	2024-02-01 19:50:05.000000 UTC	N/A	Disabled
7040	660	SgrmBroker.exe	0xca82b8f85340	8	-	0	False	2024-02-01 19:50:26.000000 UTC	N/A	Disabled
2544	660	svchost.exe	0xca82b8e84340	9	-	0	False	2024-02-01 19:50:26.000000 UTC	N/A	Disabled
7500	1144	MicrosoftEdgeU	0xca82b79e5080	3	-	0	True	2024-02-01 19:51:24.000000 UTC	N/A	Disabled
6080	660	svchost.exe	0xca82b742b340	0	-	0	False	2024-02-01 19:51:24.000000 UTC	2024-02-01 19:51:30.000000 UTC	Disabled
2964	2876	WMIADAP.exe	0xca82b8b0f340	4	-	0	False	2024-02-01 19:52:25.000000 UTC	N/A	Disabled
2608	808	ShellExperienc	0xca82b880b340	18	-	1	False	2024-02-01 19:52:26.000000 UTC	N/A	Disabled
2220	808	RuntimeBroker.	0xca82b896d340	6	-	1	False	2024-02-01 19:52:27.000000 UTC	N/A	Disabled
8696	6252	SearchProtocol	0xca82b8c08300	9	-	0	False	2024-02-01 19:53:28.000000 UTC	N/A	Disabled
3004	6252	SearchFilterHo	0xca82b1c74300	4	-	0	False	2024-02-01 19:53:28.000000 UTC	N/A	Disabled
